budget,id,popularity,revenue,title,vote_average,vote_count,genre_ids,genre_names,btc_name,btc_id
0,27526,5.756462,0,The Crossing Guard,6.1,74,18|53,Drama|Thriller,,
44000000,9623,6.010579,0,The Juror,5.5,91,18|53,Drama|Thriller,,
0,46785,1.196256,0,The White Balloon,7.5,20,10751|18,Family|Drama,,
8000000,400,4.486179,529766,Things to Do in Denver When You're Dead,6.7,87,18|80,Drama|Crime,,
900000,880,2.030174,0,Antonia's Line,7.2,26,18|35,Drama|Comedy,,
0,146599,0.252287,0,Once Upon a Time... When We Were Colored,4.5,2,10749|18,Romance|Drama,,
0,188588,0.531159,0,Last Summer in the Hamptons,0.0,0,,,,
0,8447,2.15166,0,Angels and Insects,6.3,17,18|10749,Drama|Romance,,
38000000,10534,9.568604,10300000,White Squall,6.3,86,28|18,Action|Drama,,
16000000,17414,4.814825,0,Dunston Checks In,5.1,59,12|35|10751,Adventure|Comedy|Family,,
0,13997,8.963037,32,Black Sheep,6.0,124,35,Comedy,,
8169363,2086,6.848591,8175346,Nick of Time,6.1,190,80|18|53,Crime|Drama|Thriller,,
0,61548,0.411424,0,The Journey of August King,6.7,3,18,Drama,,
47000000,9095,12.866139,12379402,Mary Reilly,5.7,77,18|27|53|10749,Drama|Horror|Thriller|Romance,,
14000000,12158,9.071127,19800000,Vampire in Brooklyn,4.5,113,35|27|10749,Comedy|Horror|Romance,,
0,9283,4.670562,0,Beautiful Girls,6.6,103,35|18|10749,Comedy|Drama|Romance,,
50000000,9208,14.957626,150270147,Broken Arrow,5.7,459,28|12|18|53,Action|Adventure|Drama|Thriller,,
0,40154,0.513391,0,A Midwinter's Tale,7.5,6,35,Comedy,,
3000000,406,12.108196,0,La Haine,7.9,695,18,Drama,,
0,45549,2.657647,0,Shopping,5.6,13,28|12|18|878|53,Action|Adventure|Drama|Science Fiction|Thriller,,
0,63076,0.638211,0,Heidi Fleiss: Hollywood Madam,6.8,4,99,Documentary,,
0,11062,4.807223,0,City Hall,6.0,67,18|53,Drama|Thriller,,
7000000,13685,6.904831,560069,Bottle Rocket,6.8,285,35|80|18,Comedy|Crime|Drama,,
0,47475,3.329264,0,Mr. Wrong,3.3,16,35|10749,Comedy|Romance,,
18000000,2045,2.464425,0,Unforgettable,5.3,22,18|9648|878|53,Drama|Mystery|Science Fiction|Thriller,,
12000000,9614,9.592265,41205099,Happy Gilmore,6.5,767,35,Comedy,,
24000000,688,5.951077,182016617,The Bridges of Madison County,7.3,397,18|10749,Drama|Romance,,
0,11907,1.015068,0,Nobody Loves Me,5.1,5,18|35|10751,Drama|Comedy|Family,,
0,10874,6.902423,34327391,Muppet Treasure Island,6.5,93,28|35|10402|10751|12,Action|Comedy|Music|Family|Adventure,The Muppet Collection,256377
0,89333,0.976707,0,Catwalk,7.0,2,99,Documentary,,
0,96357,0.001346,0,Headless Body in Topless Bar,0.0,0,80,Crime,,
72000000,197,20.755149,210000000,Braveheart,7.7,3404,28|18|36|10752,Action|Drama|History|War,,
1300000,103,14.092713,28262574,Taxi Driver,8.1,2632,80|18,Crime|Drama,,
7500000,33542,12.314278,32392047,Rumble in the Bronx,6.5,245,80|28|35|53,Crime|Action|Comedy|Thriller,,
35000000,43566,2.938293,0,Before and After,5.8,37,18|53,Drama|Thriller,,
0,71754,0.372697,0,Margaret's Museum,7.5,2,18,Drama,,
13365000,43612,1.254885,0,Happiness Is in the Field,7.0,23,35,Comedy,,
0,51352,0.243986,1,Anne Frank Remembered,7.3,4,99|18|10769,Documentary|Drama|Foreign,,
0,16934,6.178497,0,The Young Poisoner's Handbook,6.9,19,35|80|18,Comedy|Crime|Drama,,
0,10324,2.891918,0,If Lucy Fell,5.4,11,35|10749,Comedy|Romance,,
25000000,78406,1.522412,6278139,Steal Big Steal Little,5.1,7,35|18,Comedy|Drama,,
0,55731,1.317878,0,Race the Sun,5.2,21,28|12|35|18|10751,Action|Adventure|Comedy|Drama|Family,,
0,32119,0.86539,0,The Boys of St. Vincent,7.0,7,18,Drama,,
40000000,11066,6.506983,70100000,Boomerang,5.4,139,35|10749,Comedy|Romance,,
0,11104,6.778979,0,Chungking Express,7.9,249,18|35|10749,Drama|Comedy|Romance,,
0,37975,1.702639,0,The Star Maker,6.8,29,18|10749,Drama|Romance,,
7000000,2074,5.579088,14702438,Flirting with Disaster,6.3,66,35|10749,Comedy|Romance,,
17000000,27793,6.252377,0,The Neverending Story III: Escape from Fantasia,4.4,105,14,Fantasy,The Neverending Story Collection,91430
0,44284,0.406754,0,The Silences of the Palace,4.3,3,18,Drama,,
0,290157,0.001178,0,Jupiter's Wife,0.0,0,,,,
0,110972,0.699066,0,Pie in the Sky,7.0,2,35|10749,Comedy|Romance,,
0,32622,2.197439,0,Angela,5.6,9,35|18,Comedy|Drama,,
0,73067,0.637554,0,Frankie Starlight,5.4,4,18|10749|10752,Drama|Romance|War,,
50000000,11863,11.418917,9851610,Jade,5.1,45,28|53|9648|10749,Action|Thriller|Mystery|Romance,,
0,55475,0.291021,0,Nueba Yol,5.5,1,35|18|10749,Comedy|Drama|Romance,,
0,124636,0.001838,0,Sonic Outlaws,0.0,0,10402|99,Music|Documentary,,
0,9101,5.184977,0,Down Periscope,5.6,110,35,Comedy,,
0,123360,0.276401,0,From the Journals of Jean Seberg,6.5,2,99,Documentary,,
0,5757,0.540436,209935,Man of the Year,3.8,2,35,Comedy,,
0,39428,0.370342,0,The Neon Bible,7.2,5,18,Drama,,
0,124639,0.001205,0,Target,0.0,0,,,,
60000000,9302,3.402749,0,Up Close & Personal,5.9,51,18|10749,Drama|Romance,,
31000000,11000,6.49968,185260553,The Birdcage,6.7,303,35,Comedy,,
0,249882,0.918504,0,Virgin Mary,7.0,2,18,Drama,,
0,16388,2.039196,0,The Brothers McMullen,6.3,23,35|18|10749,Comedy|Drama|Romance,,
19000000,9737,9.262184,141407024,Bad Boys,6.5,1729,28|35|80|53,Action|Comedy|Crime|Thriller,Bad Boys Collection,14890
0,30765,2.375865,0,The Amazing Panda Adventure,5.0,31,28|12|18|10751,Action|Adventure|Drama|Family,,
0,10474,7.415144,0,The Basketball Diaries,7.2,472,18|80,Drama|Crime,,
4000000,22279,0.922958,851545,An Awfully Big Adventure,6.0,11,10749|18|35,Romance|Drama|Comedy,,
0,30157,1.759012,0,Amateur,6.5,21,80|35|18|53,Crime|Comedy|Drama|Thriller,,
52000000,568,18.761467,355237933,Apollo 13,7.3,1637,18,Drama,,
28000000,11780,10.193549,31596911,Rob Roy,6.5,151,12,Adventure,,
0,34996,3.137285,0,The Addiction,6.4,46,18|27,Drama|Horror,,
100000000,414,13.321354,336529144,Batman Forever,5.2,1529,28|80|14,Action|Crime|Fantasy,Batman Collection,120794
0,649,10.142662,0,Belle de Jour,7.3,163,18|10749,Drama|Romance,,
0,1873,2.04189,0,Beyond Rangoon,6.4,21,18|53,Drama|Thriller,,
2000000,5894,11.528147,1275000,Blue in the Face,6.8,28,35,Comedy,Brooklyn Cigar Store Collection,439053
11000000,1775,5.391556,178104,Canadian Bacon,5.9,57,28|35,Action|Comedy,,
50000000,8839,12.812539,287928194,Casper,6.0,1045,14|35|10751,Fantasy|Comedy|Family,Casper Collection,8819
25000000,20649,4.558992,13071518,Clockers,6.8,69,9648|80|18,Mystery|Crime|Drama,,
50000000,10329,7.260574,152022101,Congo,5.0,214,28|12|18|9648|878|53,Action|Adventure|Drama|Mystery|Science Fiction|Thriller,,
53000000,8963,8.657365,157387195,Crimson Tide,7.0,508,28|53|18,Action|Thriller|Drama,,
0,26564,3.620388,3174695,Crumb,7.6,71,99,Documentary,,
7000000,8068,6.950458,25405445,Desperado,6.8,898,53|28|80,Thriller|Action|Crime,Mexico Trilogy,9649
27000000,8512,4.646132,16140822,Devil in a Blue Dress,6.3,88,18|9648|53,Drama|Mystery|Thriller,,
90000000,1572,15.138855,366101666,Die Hard: With a Vengeance,6.9,2094,28|53,Action|Thriller,Die Hard Collection,1570
0,13552,7.120806,0,The Doom Generation,5.6,57,28|35|80|18,Action|Comedy|Crime|Drama,Teenage Apocalypse Trilogy,259398
0,259209,0.523575,0,Feast of July,0.0,0,18|80,Drama|Crime,,
55000000,6520,15.178338,127600435,First Knight,5.9,319,28|12|18|10749,Action|Adventure|Drama|Romance,,
0,9073,7.575098,0,Free Willy 2 - The Adventure Home,5.5,130,12,Adventure,Free Willy Collection,9328
20000000,10428,14.810519,7563728,Hackers,6.2,406,28|80|53|18,Action|Crime|Thriller|Drama,,
0,17447,3.196456,0,Jeffrey,6.5,19,35|18|10749,Comedy|Drama|Romance,,
25000000,9886,11.715868,19075720,Johnny Mnemonic,5.5,380,12|28|18|878|53,Adventure|Action|Drama|Science Fiction|Thriller,,
90000000,9482,8.184815,113493481,Judge Dredd,5.4,643,878,Science Fiction,,
0,19326,3.676921,17014653,Jury Duty,4.0,34,35|18,Comedy|Drama,,
1500000,9344,4.877872,7412216,Kids,6.8,280,18|80,Drama|Crime,,
500000,9071,10.058329,1148752,Living in Oblivion,7.2,64,18|35,Drama|Comedy,,
0,8973,4.102409,0,Lord of Illusions,5.9,87,9648|27|53,Mystery|Horror|Thriller,,
0,15730,0.354014,0,Love & Human Remains,7.0,7,35|18,Comedy|Drama,,
0,47608,2.624771,15453274,Mad Love,5.5,27,18|10751|10749,Drama|Family|Romance,,
6000000,2293,8.25547,2122561,Mallrats,6.8,400,10749|35,Romance|Comedy,,
15000000,9070,7.024227,66000000,Mighty Morphin Power Rangers: The Movie,5.2,153,28|12|878|10751|14,Action|Adventure|Science Fiction|Family|Fantasy,Power Rangers Collection,286162
0,68274,1.01115,0,Moonlight and Valentino,5.6,10,35|18|10749,Comedy|Drama|Romance,,
2,48787,2.466066,1,Mute Witness,6.4,36,53|10769,Thriller|Foreign,,
0,34574,7.720056,0,Nadja,5.9,12,27|53,Horror|Thriller,,
22000000,1642,13.304342,110627965,The Net,5.6,359,80|18|9648|53|28,Crime|Drama|Mystery|Thriller|Action,Síť (kolekce),328073
0,11472,8.482834,69660733,Nine Months,5.5,171,35,Comedy,,
150000,36196,1.165039,472370,Party Girl,5.8,14,35,Comedy,,
8,11980,10.187623,16,The Prophecy,6.4,139,14|27|53,Fantasy|Horror|Thriller,The Prophecy Collection,9068
0,58372,0.119713,0,Reckless,10.0,1,14|35|18,Fantasy|Comedy|Drama,,
0,32646,8.180047,0,Safe,7.2,62,18,Drama,,
50000000,10533,6.752119,10382407,The Scarlet Letter,5.5,111,18|36|10749,Drama|History|Romance,,
0,56088,0.159596,0,The Show,5.3,2,99,Documentary,,
45000000,10802,17.502375,20350754,Showgirls,4.9,261,18,Drama,Showgirls Collection,247294
7000000,10149,5.552946,8349430,Smoke,7.2,115,35|18,Comedy|Drama,Brooklyn Cigar Store Collection,439053
0,18402,3.743212,50892160,Something to Talk About,5.7,60,35,Comedy,,
35000000,9348,13.492845,113374103,Species,5.5,457,878|27|28,Science Fiction|Horror|Action,Species Collection,9887
0,139408,0.913522,0,The Stars Fell on Henrietta,6.6,6,18,Drama,,
42000000,281,11.223055,7959291,Strange Days,6.8,334,80|18|878|53,Crime|Drama|Science Fiction|Thriller,,
0,5967,8.133881,0,The Umbrellas of Cherbourg,7.6,119,18|10749,Drama|Romance,,
14000000,79593,1.820419,5780000,The Tie That Binds,4.6,9,53,Thriller,,
0,47939,11.002046,7025496,Three Wishes,6.1,18,18|14,Drama|Fantasy,,
0,36834,4.546552,339889,Total Eclipse,6.5,112,18|10749,Drama|Romance,,
0,9090,7.653446,47774193,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,117,35,Comedy,,
60000000,3512,7.490247,104324083,Under Siege 2: Dark Territory,5.6,217,28|53,Action|Thriller,Under Siege Collection,112399
0,52856,2.881689,0,Unstrung Heroes,6.4,9,35|18|10751,Comedy|Drama|Family,,
0,77350,0.786023,0,Unzipped,6.0,6,99,Documentary,,
20000000,9560,9.715639,50012507,A Walk in the Clouds,6.5,168,18|10749,Drama|Romance,,
175000000,9804,16.885184,264218220,Waterworld,5.9,1017,12|28,Adventure|Action,,
8000000,31611,1.834099,0,White Man's Burden,5.1,25,18,Drama,,
30000000,65796,8.922139,0,Wild Bill,5.9,27,28|37,Action|Western,,
0,49805,3.727644,0,The Browning Version,6.0,11,18,Drama,,
0,26258,3.287036,0,Bushwhacked,4.9,29,12|28|35|80|10751,Adventure|Action|Comedy|Crime|Family,,
2800000,50797,2.486073,2616503,Burnt by the Sun,6.7,35,18,Drama,Burnt by the Sun Trilogy,23170
0,19155,3.525649,763847,Before the Rain,7.7,45,18|10752,Drama|War,,
2500000,76,11.304979,5535405,Before Sunrise,7.7,984,18|10749,Drama|Romance,Before... Collection,123800
10000000,11017,6.638116,26488734,Billy Madison,6.2,464,35,Comedy,,
0,37141,2.761837,0,The Babysitter,4.7,27,18|53,Drama|Thriller,,
21000000,9382,3.030309,23450000,Boys on the Side,6.3,48,35|18,Comedy|Drama,,
0,6715,2.686342,0,The Cure,7.2,58,18|10751,Drama|Family,,
0,18256,2.26977,0,Castle Freak,5.8,40,53|18|27|9648,Thriller|Drama|Horror|Mystery,,
0,22625,2.605521,0,Circle of Friends,6.5,30,18|10751|10749,Drama|Family|Romance,,
27000,2292,10.513367,3151130,Clerks,7.4,769,35,Comedy,Clerks Collection,182813
25000000,1909,7.438934,22200000,Don Juan DeMarco,6.3,184,10749|18|35,Romance|Drama|Comedy,,
55000000,8984,11.812244,214015089,Disclosure,5.9,217,18|53|80|9648|10749,Drama|Thriller|Crime|Mystery|Romance,,
0,61813,0.155859,0,Dream Man,2.5,1,53,Thriller,,
45000000,4954,9.579155,0,Drop Zone,5.1,91,28|12|53,Action|Adventure|Thriller,,
0,62488,0.710671,0,Destiny Turns on the Radio,5.3,9,80|35|14,Crime|Comedy|Fantasy,,
0,10531,5.484156,0,Death and the Maiden,7.1,92,18|53|9648,Drama|Thriller|Mystery,,
0,11929,5.8025,0,Dolores Claiborne,7.1,183,80|18|9648,Crime|Drama|Mystery,,
16000000,8467,9.844558,247275374,Dumb and Dumber,6.5,1894,35,Comedy,Dumb and Dumber Collection,96665
0,10451,4.860016,7294403,Eat Drink Man Woman,7.5,76,35|18|10749,Comedy|Drama|Romance,,
0,20156,5.378467,0,Exotica,6.5,64,18|9648,Drama|Mystery,,
0,18395,4.322726,6841570,Exit to Eden,4.3,28,53|35|80|10749,Thriller|Comedy|Crime|Romance,,
18000000,522,11.720358,5887457,Ed Wood,7.3,639,35|18|36,Comedy|Drama|History,,
0,397,9.146544,0,French Kiss,6.2,179,35|10749,Comedy|Romance,,
0,10525,16.236745,0,Forget Paris,6.1,38,35|18|10749,Comedy|Drama|Romance,,
0,27985,2.657337,0,Far from Home: The Adventures of Yellow Dog,5.6,27,28|12|18|10751,Action|Adventure|Drama|Family,,
0,15789,10.177977,35348597,A Goofy Movie,6.7,404,10749|16|10751|35|12,Romance|Animation|Family|Comedy|Adventure,A Goofy Movie Collection,410261
15000000,27303,8.182165,12201255,Hideaway,5.0,24,18|53,Drama|Thriller,,
0,21183,4.953936,0,Fluke,6.6,48,18|10751|14,Drama|Family|Fantasy,,
0,10954,8.935058,0,Farinelli,5.9,20,36|18,History|Drama,,
0,47867,0.398924,3992809,Gordy,3.0,4,18|10751|14,Drama|Family|Fantasy,,
0,43475,0.090452,0,Gumby: The Movie,5.0,2,14|16|878|10751,Fantasy|Animation|Science Fiction|Family,,
0,72031,1.012197,0,The Glass Shield,5.4,9,18|28|53|80,Drama|Action|Thriller|Crime,,
700000,14275,9.47666,7830611,Hoop Dreams,7.7,91,99,Documentary,,
5000000,1024,9.438042,3049135,Heavenly Creatures,6.9,299,18|14,Drama|Fantasy,,
10500000,17207,2.688562,26325256,Houseguest,6.0,17,35|10751,Comedy|Family,,
120,13701,7.983666,0,Immortal Beloved,6.9,90,18|10402|10749,Drama|Music|Romance,,
0,14819,9.546707,17689177,Heavyweights,6.0,97,35|10751|18,Comedy|Family|Drama,,
0,32631,2.756986,0,The Hunted,6.0,25,28|53,Action|Thriller,,
25000000,11777,5.146352,0,I.Q.,5.9,112,35|18|10749,Comedy|Drama|Romance,,
60000000,628,11.970205,223664608,Interview with the Vampire,7.2,1558,27|10749,Horror|Romance,The Vampire Chronicles,217704
14000000,87729,1.596058,2474000,Jefferson in Paris,5.2,10,18|10749,Drama|Romance,,
0,18713,0.748846,0,The Jerky Boys,4.8,10,35|80,Comedy|Crime,,
60000000,6280,6.710215,37000000,Junior,4.7,381,35|10751|10749,Comedy|Family|Romance,,
0,9061,9.195256,0,Just Cause,6.0,124,28|18|9648|53,Action|Drama|Mystery|Thriller,,
0,37108,5.874511,0,A Kid in King Arthur's Court,4.3,40,12|14|35|878|10751,Adventure|Fantasy|Comedy|Science Fiction|Family,,
40000000,6071,7.797512,0,Kiss of Death,5.7,83,28|80|18|53,Action|Crime|Drama|Thriller,,
11000000,11,42.149697,775398007,Star Wars,8.1,6778,12|28|878,Adventure|Action|Science Fiction,Star Wars Collection,10
18000000,9587,9.774994,0,Little Women,7.0,222,18|10749,Drama|Romance,,
17000000,19101,7.731725,0,A Little Princess,7.4,207,18|10751|14,Drama|Family|Fantasy,,
0,49980,0.84508,0,Ladybird Ladybird,7.4,14,18,Drama,,
10000000,17961,1.948315,0,L'Enfer,6.6,22,80|18,Crime|Drama,,
2000000,18183,4.126083,21665468,Like Water for Chocolate,6.6,70,18|10749,Drama|Romance,,
30000000,4476,12.199047,160638883,Legends of the Fall,7.2,636,12|18|10749|10752,Adventure|Drama|Romance|War,,
0,11008,9.253362,0,Major Payne,6.1,164,12|35|10751,Adventure|Comedy|Family,,
0,47504,1.861292,0,Little Odessa,6.4,31,28|18,Action|Drama,,
0,32325,1.788829,0,Mi Vida Loca,5.7,9,80|18,Crime|Drama,,
60000000,43742,3.290192,0,Love Affair,4.3,11,18|10749,Drama|Romance,,
17000000,28313,7.698526,7603766,Losing Isaiah,6.4,28,18,Drama,,
0,11318,4.81307,0,The Madness of King George,6.7,67,35|18|36,Comedy|Drama|History,,
45000000,3036,14.287753,112006296,Mary Shelley's Frankenstein,6.1,272,18|27|878|10749,Drama|Horror|Science Fiction|Romance,,
0,40490,2.558118,0,Man of the House,5.1,40,28|35|10751,Action|Comedy|Family,,
15000000,24070,2.899608,0,Mixed Nuts,5.2,37,35|18|10749,Comedy|Drama|Romance,,
0,8986,3.770115,18137661,Milk Money,5.6,49,35|10749,Comedy|Romance,,
0,10510,5.831622,46264384,Miracle on 34th Street,6.4,199,14|18|10751,Fantasy|Drama|Family,,
6,17402,1.137266,5,Miami Rhapsody,5.6,7,35|10749,Comedy|Romance,,
5500000,38722,3.121288,0,My Family,7.0,11,35|18,Comedy|Drama,,
0,8438,9.518564,17381942,Murder in the First,6.9,140,80|18,Crime|Drama,,
0,11593,2.891269,0,Nobody's Fool,7.0,56,18|35,Drama|Comedy,,
31000000,1945,5.930957,106683817,Nell,6.1,128,18|53,Drama|Thriller,,
0,39310,0.629955,0,New Jersey Drive,6.9,7,80|18,Crime|Drama,,
0,109560,0.004537,0,New York Cop,0.0,0,28|53|80|18,Action|Thriller|Crime|Drama,,
4800000,56428,0.426952,0,Beyond Bedlam,4.0,4,27,Horror,,
0,63105,1.466491,0,Nemesis 2 - Nebula,4.6,10,878|28|53,Science Fiction|Action|Thriller,Nemesis Collection,286948
0,131957,0.769522,0,Nina Takes a Lover,7.4,4,18|10749,Drama|Romance,,
34000000,241,11.226856,50282766,Natural Born Killers,6.9,927,80|53|18,Crime|Thriller|Drama,,
0,9058,4.936761,0,Only You,6.4,92,35|18|10749,Comedy|Drama|Romance,,
0,527,4.025276,2201126,Once Were Warriors,7.6,106,18,Drama,Once were Warriors Collection,300546
0,18220,6.448039,0,Poison Ivy II: Lily,4.6,32,18|10749|53,Drama|Romance|Thriller,Poison Ivy Collection,48188
50000000,6950,13.676444,189859560,Outbreak,6.4,522,28|18|878|53,Action|Drama|Science Fiction|Thriller,,
16000000,101,20.477329,45284974,Leon: The Professional,8.2,4293,53|80|18,Thriller|Crime|Drama,,
11000000,63020,1.433544,2832826,The Perez Family,6.6,9,35|18|10749,Comedy|Drama|Romance,,
0,2307,0.463307,0,A Pyromaniac's Love Story,7.0,2,35|18|10749,Comedy|Drama|Romance,,
